acceptedTaxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate,geometry,scenario
2710941,Schoenoplectus lacustris,Cfb,Temperate oceanic climate,55609,70714,0.7863930763356619,"c(39.597172, 43.686464)",2071-2100_Beck
2888763,Valeriana officinalis,Cfa,Humid subtropical climate,889,213908,0.004155992295753315,"c(115.998105, 29.61015)",2071-2100_Beck
2888763,Valeriana officinalis,Cfb,Temperate oceanic climate,191071,213908,0.8932391495409241,"c(0.62109, 42.73813)",2071-2100_Beck
2925303,Lantana camara,Cfa,Humid subtropical climate,20342,58121,0.349993978080212,"c(151.12, -33.92)",2071-2100_Beck
2925303,Lantana camara,Cfb,Temperate oceanic climate,5455,58121,0.09385592126770015,"c(-70.738773, 18.912805)",2071-2100_Beck
2952882,Bituminaria bituminosa,Cfb,Temperate oceanic climate,12134,40827,0.29720528081906583,"c(-1.6622, 41.3619)",2071-2100_Beck
3169756,Nerium oleander,Cfa,Humid subtropical climate,16252,92267,0.17614098214963098,"c(119.306406, 26.076106)",2071-2100_Beck
3169756,Nerium oleander,Cfb,Temperate oceanic climate,29710,92267,0.32200028179088946,"c(17, 51.1)",2071-2100_Beck
3176197,Eucalyptus camaldulensis,Cfb,Temperate oceanic climate,7685,34524,0.22259877186884486,"c(143.8, -38.33)",2071-2100_Beck
3176197,Eucalyptus camaldulensis,Cfa,Humid subtropical climate,5374,34524,0.1556598308423126,"c(147.12, -35.27)",2071-2100_Beck
3176787,Eucalyptus globulus,Cfb,Temperate oceanic climate,12351,18135,0.6810587262200165,"c(168.35, -46.4)",2071-2100_Beck
3176787,Eucalyptus globulus,Cfa,Humid subtropical climate,199,18135,0.010973256134546458,"c(146.683333, -36.35)",2071-2100_Beck
3797394,Lycium ferocissimum,Cfb,Temperate oceanic climate,5705,87408,0.06526862529745561,"c(146.3, -38.9667)",2071-2100_Beck
3797394,Lycium ferocissimum,Cfa,Humid subtropical climate,2566,87408,0.02935658063335164,"c(151.15, -33.97)",2071-2100_Beck
5403709,Crepis vesicaria,Cfa,Humid subtropical climate,1353,27325,0.049515096065873745,"c(-73.705632, 40.663684)",2071-2100_Beck
5403709,Crepis vesicaria,Cfb,Temperate oceanic climate,23243,27325,0.8506129917657822,"c(8.92494, 44.42865)",2071-2100_Beck
6027328,Chaerophyllum hirsutum,Cfb,Temperate oceanic climate,44412,50172,0.885194929442717,"c(14.00306, 42.15667)",2071-2100_Beck
6371424,Rhamnus alaternus,Cfa,Humid subtropical climate,5329,37815,0.14092291418749173,"c(151.917757, -27.581746)",2071-2100_Beck
6371424,Rhamnus alaternus,Cfb,Temperate oceanic climate,9025,37815,0.23866190665079995,"c(2.81695, 42.76439)",2071-2100_Beck
6391648,Persicaria amphibia,Cfa,Humid subtropical climate,651,253233,0.0025707549963867268,"c(-97.310044, 36.678368)",2071-2100_Beck
6391648,Persicaria amphibia,Cfb,Temperate oceanic climate,232483,253233,0.9180596525729269,"c(-72.8575, 41.2991)",2071-2100_Beck
2710941,Schoenoplectus lacustris,Cfa,Humid subtropical climate,335,70714,0.004737392878355064,"c(153.35, -28)",2071-2100_Beck
2952882,Bituminaria bituminosa,Cfa,Humid subtropical climate,5634,40827,0.13799691380703946,"c(152.917736, -27.248406)",2071-2100_Beck
6027328,Chaerophyllum hirsutum,Cfa,Humid subtropical climate,79,50172,0.0015745834329905126,"c(2.57486, 42.49398)",2071-2100_Beck
2710941,Schoenoplectus lacustris,Cfb,Temperate oceanic climate,55609,70714,0.7863930763356619,"c(39.597172, 43.686464)",2001-2025-A1FI
2888763,Valeriana officinalis,Cfb,Temperate oceanic climate,191071,213908,0.8932391495409241,"c(0.62109, 42.73813)",2001-2025-A1FI
2925303,Lantana camara,Cfb,Temperate oceanic climate,5455,58121,0.09385592126770015,"c(-70.738773, 18.912805)",2001-2025-A1FI
2952882,Bituminaria bituminosa,Cfb,Temperate oceanic climate,12134,40827,0.29720528081906583,"c(-1.6622, 41.3619)",2001-2025-A1FI
3169756,Nerium oleander,Cfb,Temperate oceanic climate,29710,92267,0.32200028179088946,"c(17, 51.1)",2001-2025-A1FI
3176197,Eucalyptus camaldulensis,Cfb,Temperate oceanic climate,7685,34524,0.22259877186884486,"c(143.8, -38.33)",2001-2025-A1FI
3176787,Eucalyptus globulus,Cfb,Temperate oceanic climate,12351,18135,0.6810587262200165,"c(168.35, -46.4)",2001-2025-A1FI
3797394,Lycium ferocissimum,Cfb,Temperate oceanic climate,5705,87408,0.06526862529745561,"c(146.3, -38.9667)",2001-2025-A1FI
5403709,Crepis vesicaria,Cfb,Temperate oceanic climate,23243,27325,0.8506129917657822,"c(8.92494, 44.42865)",2001-2025-A1FI
6027328,Chaerophyllum hirsutum,Cfb,Temperate oceanic climate,44412,50172,0.885194929442717,"c(14.00306, 42.15667)",2001-2025-A1FI
6371424,Rhamnus alaternus,Cfb,Temperate oceanic climate,9025,37815,0.23866190665079995,"c(2.81695, 42.76439)",2001-2025-A1FI
6391648,Persicaria amphibia,Cfb,Temperate oceanic climate,232483,253233,0.9180596525729269,"c(-72.8575, 41.2991)",2001-2025-A1FI
2710941,Schoenoplectus lacustris,Cfb,Temperate oceanic climate,55609,70714,0.7863930763356619,"c(39.597172, 43.686464)",2026-2050-A1FI
2888763,Valeriana officinalis,Cfb,Temperate oceanic climate,191071,213908,0.8932391495409241,"c(0.62109, 42.73813)",2026-2050-A1FI
2925303,Lantana camara,Cfb,Temperate oceanic climate,5455,58121,0.09385592126770015,"c(-70.738773, 18.912805)",2026-2050-A1FI
2952882,Bituminaria bituminosa,Cfb,Temperate oceanic climate,12134,40827,0.29720528081906583,"c(-1.6622, 41.3619)",2026-2050-A1FI
3169756,Nerium oleander,Cfb,Temperate oceanic climate,29710,92267,0.32200028179088946,"c(17, 51.1)",2026-2050-A1FI
3176197,Eucalyptus camaldulensis,Cfb,Temperate oceanic climate,7685,34524,0.22259877186884486,"c(143.8, -38.33)",2026-2050-A1FI
3176787,Eucalyptus globulus,Cfb,Temperate oceanic climate,12351,18135,0.6810587262200165,"c(168.35, -46.4)",2026-2050-A1FI
3797394,Lycium ferocissimum,Cfb,Temperate oceanic climate,5705,87408,0.06526862529745561,"c(146.3, -38.9667)",2026-2050-A1FI
5403709,Crepis vesicaria,Cfb,Temperate oceanic climate,23243,27325,0.8506129917657822,"c(8.92494, 44.42865)",2026-2050-A1FI
6027328,Chaerophyllum hirsutum,Cfb,Temperate oceanic climate,44412,50172,0.885194929442717,"c(14.00306, 42.15667)",2026-2050-A1FI
6371424,Rhamnus alaternus,Cfb,Temperate oceanic climate,9025,37815,0.23866190665079995,"c(2.81695, 42.76439)",2026-2050-A1FI
6391648,Persicaria amphibia,Cfb,Temperate oceanic climate,232483,253233,0.9180596525729269,"c(-72.8575, 41.2991)",2026-2050-A1FI
2710941,Schoenoplectus lacustris,Cfb,Temperate oceanic climate,55609,70714,0.7863930763356619,"c(39.597172, 43.686464)",2051-2075-A1FI
2888763,Valeriana officinalis,Cfa,Humid subtropical climate,889,213908,0.004155992295753315,"c(115.998105, 29.61015)",2051-2075-A1FI
2888763,Valeriana officinalis,Cfb,Temperate oceanic climate,191071,213908,0.8932391495409241,"c(0.62109, 42.73813)",2051-2075-A1FI
2925303,Lantana camara,Cfa,Humid subtropical climate,20342,58121,0.349993978080212,"c(151.12, -33.92)",2051-2075-A1FI
2925303,Lantana camara,Cfb,Temperate oceanic climate,5455,58121,0.09385592126770015,"c(-70.738773, 18.912805)",2051-2075-A1FI
2952882,Bituminaria bituminosa,Cfb,Temperate oceanic climate,12134,40827,0.29720528081906583,"c(-1.6622, 41.3619)",2051-2075-A1FI
3169756,Nerium oleander,Cfa,Humid subtropical climate,16252,92267,0.17614098214963098,"c(119.306406, 26.076106)",2051-2075-A1FI
3169756,Nerium oleander,Cfb,Temperate oceanic climate,29710,92267,0.32200028179088946,"c(17, 51.1)",2051-2075-A1FI
3176197,Eucalyptus camaldulensis,Cfb,Temperate oceanic climate,7685,34524,0.22259877186884486,"c(143.8, -38.33)",2051-2075-A1FI
3176197,Eucalyptus camaldulensis,Cfa,Humid subtropical climate,5374,34524,0.1556598308423126,"c(147.12, -35.27)",2051-2075-A1FI
3176787,Eucalyptus globulus,Cfb,Temperate oceanic climate,12351,18135,0.6810587262200165,"c(168.35, -46.4)",2051-2075-A1FI
3176787,Eucalyptus globulus,Cfa,Humid subtropical climate,199,18135,0.010973256134546458,"c(146.683333, -36.35)",2051-2075-A1FI
3797394,Lycium ferocissimum,Cfb,Temperate oceanic climate,5705,87408,0.06526862529745561,"c(146.3, -38.9667)",2051-2075-A1FI
3797394,Lycium ferocissimum,Cfa,Humid subtropical climate,2566,87408,0.02935658063335164,"c(151.15, -33.97)",2051-2075-A1FI
5403709,Crepis vesicaria,Cfa,Humid subtropical climate,1353,27325,0.049515096065873745,"c(-73.705632, 40.663684)",2051-2075-A1FI
5403709,Crepis vesicaria,Cfb,Temperate oceanic climate,23243,27325,0.8506129917657822,"c(8.92494, 44.42865)",2051-2075-A1FI
6027328,Chaerophyllum hirsutum,Cfb,Temperate oceanic climate,44412,50172,0.885194929442717,"c(14.00306, 42.15667)",2051-2075-A1FI
6371424,Rhamnus alaternus,Cfa,Humid subtropical climate,5329,37815,0.14092291418749173,"c(151.917757, -27.581746)",2051-2075-A1FI
6371424,Rhamnus alaternus,Cfb,Temperate oceanic climate,9025,37815,0.23866190665079995,"c(2.81695, 42.76439)",2051-2075-A1FI
6391648,Persicaria amphibia,Cfa,Humid subtropical climate,651,253233,0.0025707549963867268,"c(-97.310044, 36.678368)",2051-2075-A1FI
